P1,P2,P2.1,P3,P4,P5,P6,P7,P8.1,P8.2,P8.3,P9,P10,P11.1,P11.2,P11.3,P11.4,P11.5,P11.6,P11.7,P12,P13,P14.1,P14.2,P14.3,P14.4,P14.5,P14.6,P14.7,P15,P16,P17,P18,P19,P20,P21,P22,P23
2001,No,Sí,,A partir de los 32,0,N.S.,,1,1,2,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",6,6,6,6,6,6,6,Sí,9,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),3,Estudiante,N.S.,Estudios universitarios o equivalentes
2001,No,Sí,,Cuando tenga trabajo y unos ingresos estables :),3,Sociedad en general,,Totalmente de acuerdo 10,3,Totalmente de acuerdo 10,No,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),1,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes
1983,Sí,,33,,0,De nadie en particular,"Culpa, Preocupación",9,1,1,Sí,Sí,En desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),1,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes
1998,No,Sí,,30/35 si tengo estabilidad económica,0,N.C.,N.C.,6,6,9,N.S.,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,N.S.,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales de apoyo,Menos de 1.100,Estudios universitarios o equivalentes
1999,No,Sí,,30,3,"Pareja, Sociedad en general",,5,7,7,Sí,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,5,7,5,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),0,N.C.,No tiene ingresos de ningún tipo,Formación profesional de grado superior
1999,No,Sí,,30,3,"Familiares, Pareja, Sociedad en general",,5,8,Totalmente de acuerdo 10,Sí,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,5,7,5,7,"No, debería ser más",8,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),2,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Estudios universitarios o equivalentes
1999,No,No,,,2,Familiares,,7,6,N.S.,No,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,6,5,4,4,7,Debería ser más para la mujer y menos para el hombre,8,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),2,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Estudios universitarios o equivalentes
2000,No,Sí,,31,4,Sociedad en general,,7,8,1,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, No tener pareja",6,6,6,7,6,6,7,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales de apoyo,Menos de 1.100,Estudios universitarios o equivalentes
1972,Sí,,30,,0,De nadie en particular,Preocupación,Nada de acuerdo 0,Totalmente de acuerdo 10,Totalmente de acuerdo 10,Sí,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,No tener pareja,7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,Empleados de tipo administrativo,Más de 5.000,Bachillerato
1999,No,Sí,,A los 29 con una buena estabilidad,7,Familiares,,7,7,3,No,No,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica",6,7,7,6,7,7,7,"No, debería ser más",9,No,Totalmente de acuerdo,Católica no practicante,4,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado medio
