P1,P2,P2.1,P3,P4,P5,P6,P7,P8.1,P8.2,P8.3,P9,P10,P11.1,P11.2,P11.3,P11.4,P11.5,P11.6,P11.7,P12,P13,P14.1,P14.2,P14.3,P14.4,P14.5,P14.6,P14.7,P15,P16,P17,P18,P19,P20,P21,P22,P23,P4_categorias,ideologia_agrupada
2001,No,Sí,,A partir de los 32,0,N.S.,,1,1.0,2.0,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",6,6,6,6,6,6,6,Sí,9,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),3,Estudiante,N.S.,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
2001,No,Sí,,Cuando tenga trabajo y unos ingresos estables :),3,Sociedad en general,,10,3.0,10.0,No,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),1,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,Al tener estabilidad,Izquierda
1983,Sí,,33.0,,0,De nadie en particular,"Culpa, Preocupación",9,1.0,1.0,Sí,Sí,En desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),1,Técnicos y profesionales científicos e intelectuales,De 1.801 a 2.700,Estudios universitarios o equivalentes,,Izquierda
1998,No,Sí,,30/35 si tengo estabilidad económica,0,N.C.,N.C.,6,6.0,9.0,N.S.,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,N.S.,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales de apoyo,Menos de 1.100,Estudios universitarios o equivalentes,Al tener estabilidad,Izquierda
1999,No,Sí,,30,3,"Pareja, Sociedad en general",,5,7.0,7.0,Sí,No,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,5,7,5,7,6,7,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),0,N.C.,No tiene ingresos de ningún tipo,Formación profesional de grado superior,Entre 30 y 35 años,Izquierda
1999,No,Sí,,30,3,"Familiares, Pareja, Sociedad en general",,5,8.0,10.0,Sí,No,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,7,5,7,5,7,"No, debería ser más",8,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),2,Técnicos y profesionales científicos e intelectuales,Menos de 1.100,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1999,No,No,,,2,Familiares,,7,6.0,,No,Sí,En desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,35-39 años,"Precariedad laboral, Difícil emancipación, Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",7,7,6,5,4,4,7,Debería ser más para la mujer y menos para el hombre,8,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),2,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",Menos de 1.100,Estudios universitarios o equivalentes,,Izquierda
2000,No,Sí,,31,4,Sociedad en general,,7,8.0,1.0,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, No tener pareja",6,6,6,7,6,6,7,"No, debería ser más",10,No,De acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),3,Técnicos y profesionales de apoyo,Menos de 1.100,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1972,Sí,,30.0,,0,De nadie en particular,Preocupación,0,10.0,10.0,Sí,Sí,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,40 o más años,No tener pareja,7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Agnóstica (no afirma la existencia o inexistencia de Dios),5,Empleados de tipo administrativo,Más de 5.000,Bachillerato,,Centro
1999,No,Sí,,A los 29 con una buena estabilidad,7,Familiares,,7,7.0,3.0,No,No,Ni acuerdo ni desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,En desacuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica",6,7,7,6,7,7,7,"No, debería ser más",9,No,Totalmente de acuerdo,Católica no practicante,4,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado medio,Al tener estabilidad,Centro
1971,Sí,,29.0,,0,De nadie en particular,Preocupación,1,7.0,7.0,N.S.,N.S.,N.S.,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,35-39 años,"Estudios, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,6,6,6,6,5,6,Debería ser más para la mujer y menos para el hombre,9,No,Totalmente de acuerdo,N.S.,6,Técnicos y profesionales científicos e intelectuales,N.S.,Estudios universitarios o equivalentes,,Centro
1964,Sí,,26.0,,0,De nadie en particular,Preocupación,3,9.0,9.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,De acuerdo,Ni acuerdo ni desacuerdo,De acuerdo,40 o más años,"Difícil emancipación, Falta de estabilidad económica, Incertidumbre acerca del futuro",6,5,5,6,7,6,6,Debería ser más para la mujer y menos para el hombre,10,No,Totalmente de acuerdo,Católica no practicante,7,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado superior,,Derecha
1994,No,Sí,,35,0,Sociedad en general,,3,1.0,1.0,No,Sí,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,No creyente,0,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Estudios universitarios o equivalentes,Entre 30 y 35 años,Izquierda
1971,Sí,,32.0,,0,N.C.,"Ansiedad, Depresión, Culpa, Preocupación",10,0.0,0.0,Sí,Sí,Ni acuerdo ni desacuerdo,En desacuerdo,En desacuerdo,Ni acuerdo ni desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica",7,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,5,Empleados de tipo administrativo,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Centro
2001,No,N.S.,,34,7,"Pareja, Amistades, Sociedad en general",,8,5.0,6.0,Sí,Sí,En desacuerdo,En desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,En desacuerdo,Totalmente de acuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",6,6,6,6,6,6,6,"No, debería ser más",8,No,Totalmente de acuerdo,Católica no practicante,5,Empleados de tipo administrativo,Menos de 1.100,Formación profesional de grado superior,Entre 30 y 35 años,Centro
1971,Sí,,38.0,,2,Sociedad en general,"Ansiedad, Depresión, Miedo, Culpa, Preocupación",1,10.0,1.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica, No tener pareja",6,7,7,7,7,7,7,"No, debería ser más",10,No,Totalmente de acuerdo,Católica no practicante,5,Técnicos y profesionales científicos e intelectuales,De 1.100 a 1.800,Formación profesional de grado medio,,Centro
2001,No,Sí,,30-35,0,De nadie en particular,,3,6.0,7.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente de acuerdo,40 o más años,"Difícil emancipación, Estudios, Falta de estabilidad económica",6,6,6,6,6,6,6,N.C.,10,No,Totalmente de acuerdo,N.C.,5,Estudiante,Menos de 1.100,Estudios universitarios o equivalentes,Entre 30 y 35 años,Centro
1996,No,Sí,,Cuando tenga estabilidad económica o haya conseguido mis propósitos en cuanto a estudios y el ámbito laboral,8,"Familiares, Amistades, Sociedad en general",,3,1.0,1.0,No,No,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,N.S.,"Precariedad laboral, Estudios, Falta de estabilidad económica",6,6,6,5,6,5,6,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),4,"Trabajadores de servicios de restauración, personales, protección y vendedores de los comercios",De 1.100 a 1.800,Estudios universitarios o equivalentes,Al tener estabilidad,Centro
1999,No,Sí,,"Cuando tenga estabilidad en la vida, ya sea laboral, economica o pareja",6,Familiares,,8,5.0,3.0,No,Sí,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,N.S.,En desacuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Difícil emancipación, Falta de estabilidad económica, No tener pareja, Incertidumbre acerca del futuro",7,7,7,7,7,7,7,Sí,8,No,Totalmente de acuerdo,Católica no practicante,7,Estudiante,No tiene ingresos de ningún tipo,Estudios universitarios o equivalentes,Al tener estabilidad,Derecha
1969,Sí,,25.0,,1,Sociedad en general,Ninguna,2,2.0,2.0,No,Sí,De acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,En desacuerdo,Totalmente de acuerdo,De acuerdo,En desacuerdo,40 o más años,"Precariedad laboral, Falta de estabilidad económica",5,6,5,5,5,5,5,"No, debería ser más",10,No,Totalmente de acuerdo,Atea (niega la existencia de Dios),1,Trabajadores no cualificados,Menos de 1.100,Formación profesional de grado superior,,Izquierda
1998,No,N.S.,,N.S.,2,"Sociedad en general, De nadie en particular",,2,3.0,2.0,No,N.S.,Ni acuerdo ni desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni acuerdo ni desacuerdo,N.C.,De acuerdo,40 o más años,N.C.,7,7,7,7,7,7,7,"No, debería ser más",10,No,De acuerdo,Atea (niega la existencia de Dios),5,N.C.,De 1.100 a 1.800,Estudios universitarios o equivalentes,,Centro
